feature,importance,importance_percent
experience_industry_simplified_Model,14.745167186501684,14.711952548480548
industry_simplified_Politician,7.9329108162847914,7.915041316544018
age_industry_simplified_Other,6.489220823922004,6.474603348380384
industry_simplified_Other,6.352546663831935,6.338237057485475
celebrity_age_during_season,5.633814963629576,5.621124356440915
industry_simplified_Model,5.223542242599309,5.211775806682944
experience_industry_simplified_Other,4.943334691052694,4.932199444479773
industry_simplified_Athlete,4.765814224751227,4.7550788568609255
age_industry_simplified_Athlete,4.6994817053253275,4.688895756603618
experience_industry_simplified_Comedian,4.673483754361542,4.662956368050121
experience_industry_simplified_Singer,4.574027048811274,4.563723696478705
industry_simplified_Comedian,4.44922752324198,4.4392052915650515
age_industry_simplified_Singer,3.9672930800639254,3.9583564432722644
pro_experience,3.9363562403172097,3.9274892911676558
industry_simplified_Singer,3.7697390615367854,3.761247430565133
age_industry_simplified_Model,3.5309493119188966,3.522995573464596
experience_industry_simplified_Athlete,3.5145084429365943,3.5065917388207377
is_american_True,3.377964072299583,3.370354945018032
age_industry_simplified_Comedian,3.053050696646693,3.0461734620608327
experience_industry_simplified_Politician,0.3565066229787175,0.3557035640317009
industry_simplified_Musician,0.2368271752121587,0.2362937035465786
age_industry_simplified_Musician,0.0,0.0
age_industry_simplified_Politician,0.0,0.0
experience_industry_simplified_Musician,0.0,0.0
